NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Jordan Balazovic,DET,RP,,FA,,,14.67,0.0,14.67,2.88,-311.26899999999995,0.0
Yerry Rodriguez,,RP,,FA,,,-39.47,54.0,14.53,2.21,-311.409,0.0
Ben Heller,CHC,RP,,FA,,,-47.86,62.0,14.14,2.47,-311.799,0.0
Sammy Peralta,CHW,RP,,FA,,,-25.05,39.0,13.95,3.16,-311.989,0.0
Jack O'Loughlin,COL,SP/RP,,FA,,,-39.63,52.0,12.37,2.01,-313.569,0.0
Shaun Anderson,LAA,SP/RP,,FA,,,-55.06,67.0,11.94,2.0,-313.999,0.0
Gavin Hollowell,CHC,RP,,FA,,,-26.26,38.0,11.74,2.29,-314.199,0.0
Chad Kuhl,ATL,RP,,FA,,,11.47,0.0,11.47,2.85,-314.46899999999994,0.0
Brandon Hughes,CHC,RP,,FA,,,-70.38,81.0,10.62,2.15,-315.319,0.0
Wilmer Flores,DET,RP,,FA,,,9.65,0.0,9.65,1.93,-316.289,0.0
Chris Murphy,BOS,RP,,FA,,,-56.82,66.0,9.18,2.28,-316.759,0.0
Noah Davis,BOS,RP,,FA,,,8.47,0.0,8.47,3.9,-317.46899999999994,0.0
Jesse Scholtens,CHW,SP/RP,,FA,,,-14.57,23.0,8.43,5.21,-317.509,0.0
